,prod_asin,prod_condition,prod_price,seller_index,seller_name,seller_rating,seller_n_reviews
334,B0007DHT8Q,Used,24.0,4.0,Amazon Warehouse,,
335,B0007DHT8Q,New,58.0,5.0,Here4You24/7,97.0,64.0
336,B07TWN68HZ,New,24.0,0.0,Amazon.com,88.0,19781.0
337,B07TWN68HZ,Used,22.0,1.0,More,,
338,B07TWN68HZ,Used,22.0,2.0,Amazon Warehouse,,
339,B07TWN68HZ,New,24.0,3.0,Final-Score Athletics,88.0,19781.0
340,B07TWN68HZ,New,24.0,4.0,"Direct Sports, Inc.",90.0,1054.0
341,B07TWN68HZ,New,26.0,5.0,DBL Emporium,98.0,671.0
342,B07TWN68HZ,New,21.0,6.0,HitaDouble,65.0,326.0
343,B07TWN68HZ,New,24.0,7.0,Bases Loaded,87.0,8561.0
344,B07TWN68HZ,New,29.0,8.0,Grizzly River Sports,91.0,14551.0
345,B07TWN68HZ,New,24.0,9.0,BP Athletics,96.0,3660.0
346,B07TWN68HZ,New,34.0,10.0,BBB Sports Inc,82.0,28.0
347,B07TT7W832,New,39.0,0.0,Amazon.com,,
348,B07TT7W832,Used,27.0,1.0,Amazon Warehouse,,
349,B07CKBJDR7,New,19.0,0.0,Amazon.com,99.0,219.0
350,B08BT7Z4SL,New,199.0,0.0,Amazon.com,92.0,911.0
351,B08BT7Z4SL,Used,184.0,1.0,Amazon Warehouse,,
352,B08BT7Z4SL,New,199.0,2.0,HQ4SPORTS,92.0,911.0
353,B08BT7Z4SL,New,219.0,3.0,Ballgloves,91.0,2196.0
354,B08BT7Z4SL,New,219.0,4.0,"Direct Sports, Inc.",90.0,1054.0
355,B08BT7Z4SL,New,219.0,5.0,Sports Unlimited®,92.0,17223.0
356,B08BT7Z4SL,New,219.0,6.0,"Direct Sports, Inc.",90.0,1054.0
357,B08BT7Z4SL,New,219.0,7.0,JustBats,97.0,3922.0
358,B08BT7Z4SL,New,219.0,8.0,Bases Loaded,87.0,8561.0
359,B08BT7Z4SL,New,219.0,9.0,SoftballFans/HardballFans,83.0,17620.0
360,B08BT7Z4SL,New,219.0,10.0,Baseball Express/Team Express,85.0,9471.0
361,B08V8GR7WV,New,599.0,0.0,Baden Sports,84.0,208.0
362,B08MBH9QMF,New,349.0,0.0,Amazon.com,82.0,119.0
363,B08MBH9QMF,Used,296.0,1.0,More,,
364,B08MBH9QMF,New,349.0,2.0,Better Baseball,82.0,119.0
365,B08MBH9QMF,New,349.0,3.0,HB Sports Inc.,99.0,88.0
