siren,year,company,totalassets,marketable_sec,cash,totaldebt,inventory,creditors,tradedebts,taxes,otherdebts,netincome,netsales
524078789,2015,SAMI AQUITAINE,12905.0,0.0,2.0,11143.0,5010.0,6216.0,3134.0,846.0,1388.0,92.0,29956.0
524078789,2016,SAMI AQUITAINE,13504.0,0.0,26.0,11560.0,7377.0,5986.0,2831.0,838.0,1753.0,100.0,33601.0
524078789,2017,SAMI AQUITAINE,15624.0,0.0,189.0,13849.0,7531.0,8622.0,3890.0,1185.0,156.0,-313.0,35059.0
524082633,2014,SOCIETE MAN,225.0,0.0,7.0,99.0,0.0,4.0,0.0,2.0,0.0,12.0,55.0
524091469,2014,LOUPDAT ENERGIES,17.0,0.0,2.0,64.0,0.0,4.0,0.0,0.0,0.0,-17.0,0.0
524091469,2015,LOUPDAT ENERGIES,30.0,0.0,0.0,83.0,0.0,4.0,0.0,0.0,0.0,-6.0,0.0
524091469,2016,LOUPDAT ENERGIES,10.0,0.0,1.0,104.0,0.0,4.0,0.0,0.0,0.0,-41.0,0.0
524091469,2017,LOUPDAT ENERGIES,209.0,0.0,2.0,323.0,0.0,110.0,0.0,0.0,0.0,-19.0,0.0
524091725,2014,BRACH ENERGIES,96.0,0.0,1.0,196.0,0.0,4.0,0.0,0.0,0.0,-8.0,0.0
524091725,2017,BRACH ENERGIES,14909.0,0.0,9.0,14983.0,0.0,191.0,281.0,29.0,0.0,-444.0,281.0
524093499,2014,LA PLAINE DES MOULINS ENERGIES,1.0,0.0,1.0,38.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0
524093499,2017,LA PLAINE DES MOULINS ENERGIES,35.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,-27.0,0.0
524094364,2014,NAUJAC ENERGIE SOLAIRE,104.0,0.0,4.0,356.0,0.0,4.0,0.0,0.0,0.0,-57.0,0.0
524094364,2015,NAUJAC ENERGIE SOLAIRE,1.0,0.0,1.0,421.0,0.0,1.0,0.0,0.0,0.0,-10.0,0.0
524094364,2016,NAUJAC ENERGIE SOLAIRE,38.0,0.0,5.0,370.0,0.0,4.0,0.0,3.0,0.0,-125.0,0.0
524094364,2017,NAUJAC ENERGIE SOLAIRE,36.0,0.0,1.0,377.0,0.0,8.0,0.0,0.0,0.0,-9.0,0.0
524095635,2014,PUY BACOT ENERGIES,107.0,0.0,20.0,220.0,0.0,4.0,0.0,0.0,0.0,-14.0,0.0
524096880,2014,TOTES ENERGIES,1.0,0.0,1.0,38.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0
524096880,2015,TOTES ENERGIES,11.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
524096880,2017,TOTES ENERGIES,39.0,0.0,2.0,67.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0
524099827,2014,SAINTE HELENE ENERGIES,115.0,0.0,1.0,241.0,0.0,4.0,0.0,0.0,0.0,-53.0,0.0
524099827,2017,SAINTE HELENE ENERGIES,15829.0,0.0,1276.0,16022.0,0.0,31.0,161.0,5.0,0.0,-530.0,161.0
524100401,2014,CAMIAC ENERGIES,82.0,0.0,1.0,170.0,0.0,4.0,0.0,0.0,0.0,-6.0,0.0
524100401,2015,CAMIAC ENERGIES,77.0,0.0,0.0,183.0,0.0,4.0,0.0,0.0,0.0,-17.0,0.0
524100401,2016,CAMIAC ENERGIES,83.0,0.0,3.0,198.0,0.0,4.0,0.0,0.0,0.0,-9.0,0.0
524148681,2014,ALIUM,924.0,0.0,0.0,713.0,110.0,311.0,467.0,180.0,0.0,123.0,3826.0
524148681,2015,ALIUM,1085.0,0.0,0.0,715.0,144.0,292.0,523.0,214.0,0.0,158.0,4587.0
524148681,2016,ALIUM,1584.0,0.0,0.0,1007.0,130.0,401.0,843.0,225.0,0.0,208.0,5644.0
524148681,2017,ALIUM,1566.0,0.0,0.0,762.0,107.0,428.0,703.0,244.0,0.0,228.0,5833.0
524148681,2018,ALIUM,2059.0,0.0,0.0,1241.0,138.0,642.0,754.0,253.0,0.0,241.0,6167.0
524156734,2014,SMA33,987.0,0.0,233.0,583.0,0.0,243.0,433.0,69.0,38.0,58.0,1721.0
524156734,2015,SMA33,686.0,50.0,108.0,209.0,39.0,41.0,257.0,52.0,11.0,46.0,792.0
524170305,2014,PHM INGENIERIE,12.0,0.0,9.0,8.0,0.0,2.0,7.0,6.0,0.0,6.0,34.0
524184769,2014,PHILIPPE ETCHEBEST,625.0,23.0,384.0,102.0,0.0,4.0,25.0,36.0,0.0,236.0,620.0
524189479,2014,ACCES TRAVAUX SUD OUEST,108.0,0.0,36.0,88.0,0.0,3.0,57.0,40.0,1.0,1.0,117.0
524189479,2015,ACCES TRAVAUX SUD OUEST,76.0,0.0,18.0,54.0,0.0,1.0,46.0,24.0,1.0,2.0,80.0
